iter	Passed	Remaining
0	13	6488
1	22	5514
2	31	5241
3	38	4814
4	46	4621
5	54	4487
6	62	4432
7	70	4332
8	78	4308
9	86	4214
10	95	4238
11	102	4171
12	111	4181
13	120	4172
14	129	4200
15	140	4250
16	149	4252
17	159	4275
18	168	4270
19	178	4292
20	188	4309
21	197	4294
22	208	4322
23	216	4299
24	227	4317
25	238	4347
26	246	4324
27	256	4319
28	264	4289
29	274	4303
30	283	4281
31	291	4264
32	299	4244
33	308	4227
34	318	4233
35	326	4211
36	350	4387
37	358	4356
38	369	4364
39	376	4331
40	386	4322
41	394	4298
42	405	4305
43	416	4313
44	425	4297
45	435	4299
46	444	4280
47	455	4293
48	468	4314
49	479	4315
50	489	4311
51	502	4331
52	515	4344
53	526	4346
54	538	4357
55	551	4369
56	563	4379
57	575	4383
58	587	4390
59	599	4393
60	610	4393
61	620	4382
62	630	4374
63	640	4362
64	652	4364
65	662	4359
66	672	4347
67	683	4343
68	695	4345
69	706	4338
70	717	4335
71	728	4328
72	738	4319
73	749	4313
74	760	4308
75	771	4302
76	780	4288
77	789	4273
78	800	4264
79	810	4255
80	819	4239
81	829	4229
82	842	4231
83	850	4213
84	860	4203
85	870	4189
86	882	4191
87	895	4194
88	908	4193
89	919	4187
90	931	4185
91	940	4173
92	948	4151
93	957	4137
94	965	4114
95	975	4106
96	985	4094
97	995	4082
98	1005	4071
99	1012	4051
100	1021	4036
101	1029	4016
102	1038	4002
103	1046	3984
104	1056	3974
105	1064	3954
106	1073	3942
107	1080	3923
108	1090	3912
109	1098	3893
110	1106	3878
111	1113	3856
112	1122	3846
113	1129	3826
114	1139	3813
115	1146	3796
116	1157	3787
117	1167	3779
118	1176	3767
119	1188	3762
120	1197	3749
121	1206	3738
122	1217	3732
123	1226	3718
124	1235	3707
125	1243	3691
126	1254	3683
127	1264	3676
128	1272	3659
129	1282	3649
130	1289	3632
131	1298	3619
132	1305	3602
133	1315	3592
134	1322	3576
135	1331	3565
136	1339	3548
137	1349	3540
138	1356	3524
139	1367	3515
140	1374	3498
141	1383	3488
142	1390	3471
143	1400	3461
144	1407	3446
145	1415	3431
146	1421	3414
147	1430	3402
148	1440	3394
149	1448	3378
150	1456	3367
151	1463	3351
152	1471	3337
153	1479	3325
154	1488	3312
155	1495	3298
156	1503	3284
157	1511	3272
158	1519	3257
159	1526	3244
160	1533	3228
161	1541	3217
162	1549	3202
163	1558	3192
164	1565	3177
165	1575	3169
166	1583	3156
167	1593	3148
168	1599	3133
169	1607	3120
170	1614	3105
171	1622	3094
172	1629	3080
173	1638	3070
174	1645	3056
175	1656	3049
176	1664	3037
177	1672	3025
178	1679	3012
179	1688	3001
180	1695	2988
181	1705	2980
182	1712	2965
183	1720	2954
184	1727	2940
185	1736	2930
186	1743	2917
187	1752	2907
188	1759	2894
189	1767	2884
190	1774	2870
191	1782	2860
192	1790	2847
193	1798	2837
194	1857	2906
195	1889	2931
196	1899	2921
197	1906	2907
198	1916	2899
199	1924	2887
200	1934	2877
201	1943	2867
202	1952	2856
203	1962	2848
204	1971	2837
205	1983	2830
206	1992	2820
207	2002	2810
208	2012	2802
209	2021	2791
210	2033	2784
211	2044	2776
212	2053	2766
213	2064	2758
214	2075	2751
215	2083	2739
216	2093	2730
217	2103	2720
218	2112	2711
219	2120	2699
220	2133	2693
221	2147	2688
222	2158	2681
223	2175	2680
224	2185	2671
225	2199	2666
226	2213	2661
227	2223	2652
228	2233	2642
229	2243	2633
230	2251	2621
231	2262	2613
232	2272	2603
233	2280	2591
234	2289	2582
235	2299	2572
236	2309	2563
237	2317	2551
238	2328	2542
239	2338	2533
240	2346	2521
241	2355	2511
242	2364	2500
243	2373	2490
244	2381	2478
245	2392	2469
246	2401	2460
247	2410	2449
248	2421	2440
249	2429	2429
250	2438	2418
251	2445	2407
252	2455	2397
253	2462	2384
254	2472	2375
255	2482	2366
256	2490	2354
257	2499	2344
258	2506	2332
259	2515	2321
260	2522	2310
261	2530	2298
262	2537	2286
263	2543	2273
264	2552	2263
265	2559	2251
266	2567	2240
267	2574	2229
268	2583	2218
269	2590	2207
270	2599	2196
271	2606	2185
272	2616	2175
273	2623	2163
274	2632	2154
275	2640	2142
276	2650	2133
277	2657	2121
278	2666	2111
279	2672	2100
280	2682	2090
281	2689	2078
282	2698	2069
283	2706	2058
284	2715	2048
285	2722	2037
286	2731	2027
287	2738	2015
288	2748	2006
289	2755	1995
290	2764	1985
291	2771	1974
292	2780	1964
293	2787	1953
294	2796	1943
295	2803	1932
296	2812	1922
297	2819	1911
298	2829	1901
299	2836	1891
300	2845	1881
301	2852	1870
302	2863	1861
303	2875	1854
304	2890	1847
305	2898	1837
306	2909	1829
307	2918	1819
308	2930	1811
309	2941	1802
310	2949	1792
311	2966	1787
312	2979	1780
313	2996	1775
314	3005	1765
315	3014	1755
316	3024	1745
317	3032	1735
318	3043	1726
319	3053	1717
320	3061	1707
321	3070	1697
322	3078	1686
323	3087	1677
324	3094	1666
325	3105	1657
326	3113	1647
327	3125	1638
328	3136	1630
329	3145	1620
330	3156	1611
331	3165	1601
332	3174	1591
333	3185	1583
334	3192	1572
335	3201	1562
336	3208	1551
337	3217	1542
338	3224	1531
339	3234	1521
340	3241	1511
341	3252	1502
342	3265	1494
343	3272	1484
344	3281	1474
345	3291	1465
346	3302	1456
347	3311	1446
348	3321	1436
349	3331	1427
350	3340	1418
351	3351	1409
352	3361	1399
353	3369	1389
354	3381	1380
355	3389	1371
356	3401	1362
357	3411	1353
358	3418	1342
359	3429	1333
360	3439	1324
361	3451	1315
362	3461	1306
363	3470	1296
364	3480	1287
365	3489	1277
366	3501	1268
367	3512	1259
368	3521	1250
369	3534	1241
370	3546	1233
371	3558	1224
372	3568	1214
373	3578	1205
374	3585	1195
375	3595	1185
376	3604	1175
377	3614	1166
378	3624	1157
379	3633	1147
380	3642	1137
381	3651	1127
382	3663	1119
383	3675	1110
384	3685	1100
385	3695	1091
386	3706	1082
387	3716	1072
388	3727	1063
389	3738	1054
390	3748	1045
391	3760	1035
392	3770	1026
393	3778	1016
394	3788	1006
395	3796	997
396	3806	987
397	3814	977
398	3824	968
399	3835	958
400	3845	949
401	3856	940
402	3864	930
403	3874	920
404	3880	910
405	3890	900
406	3897	890
407	3905	880
408	3912	870
409	3920	860
410	3928	850
411	3936	840
412	3942	830
413	3952	820
414	3959	810
415	3968	801
416	3975	791
417	3984	781
418	3991	771
419	4000	761
420	4006	751
421	4015	742
422	4022	732
423	4031	722
424	4038	712
425	4047	703
426	4054	693
427	4063	683
428	4069	673
429	4077	663
430	4085	654
431	4093	644
432	4101	634
433	4108	624
434	4117	615
435	4124	605
436	4133	595
437	4143	586
438	4151	576
439	4162	567
440	4171	558
441	4181	548
442	4189	539
443	4197	529
444	4205	519
445	4215	510
446	4225	501
447	4232	491
448	4242	481
449	4249	472
450	4258	462
451	4265	452
452	4274	443
453	4282	433
454	4290	424
455	4297	414
456	4307	405
457	4314	395
458	4323	386
459	4330	376
460	4339	367
461	4346	357
462	4355	348
463	4363	338
464	4372	329
465	4379	319
466	4388	310
467	4395	300
468	4405	291
469	4412	281
470	4422	272
471	4429	262
472	4438	253
473	4445	243
474	4453	234
475	4461	224
476	4469	215
477	4477	206
478	4486	196
479	4493	187
480	4502	177
481	4509	168
482	4518	159
483	4525	149
484	4534	140
485	4542	130
486	4550	121
487	4558	112
488	4567	102
489	4574	93
490	4583	84
491	4590	74
492	4599	65
493	4606	55
494	4615	46
495	4623	37
496	4632	27
497	4639	18
498	4648	9
499	4654	0
