season,round,week,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
2023/24,Group stage,1,Tue,2023-09-19,18:45 (17:45),Milan it,0–0,eng Newcastle,65695,Stadio Giuseppe Meazza,José Sánchez,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,18:45 (17:45),Young Boys ch,1–3,de RB Leipzig,31500,Stadion Wankdorf,Enea Jorgji,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,20:00,Manchester City eng,3–1,rs Red Star,50204,Etihad Stadium,João Pinheiro,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,21:00 (20:00),Paris SG fr,2–0,de Dortmund,47379,Parc des Princes,Jesús Gil,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,21:00 (20:00),Lazio it,1–1,es Atlético Madrid,46168,Stadio Olimpico,Slavko Vinčič,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,21:00 (20:00),Feyenoord nl,2–0,sct Celtic,44008,Stadion Feijenoord,Irfan Peljto,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,21:00 (20:00),Barcelona es,5–0,be Antwerp,40989,Estadi Olímpic Lluís Companys,Radu Petrescu,Match Report,
2023/24,Group stage,1,Tue,2023-09-19,22:00 (20:00),Shakhtar D. ua,1–3,pt Porto,46729,Volksparkstadion,Davide Massa,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,18:45 (17:45),Real Madrid es,1–0,de Union Berlin,65207,Estadio Santiago Bernabéu,Espen Eskås,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,19:45 (17:45),Galatasaray tr,2–2,dk FC Copenhagen,46911,RAMS Park,Georgi Kabakov,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,20:00,Braga pt,1–2,it Napoli,18422,Estádio Municipal de Braga,Serdar Gözübüyük,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,20:00,Arsenal eng,4–0,nl PSV,58860,Emirates Stadium,Felix Zwayer,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,20:00,Benfica pt,0–2,at RB Salzburg,60917,Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,21:00 (20:00),Sevilla es,1–1,fr Lens,33544,Estadio Ramón Sánchez Pizjuán,Tobias Stieler,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,21:00 (20:00),Bayern Munich de,4–3,eng Manchester Utd,75000,Trainingsgelände Allianz Arena,Glenn Nyberg,Match Report,
2023/24,Group stage,1,Wed,2023-09-20,21:00 (20:00),Real Sociedad es,1–1,it Inter,36591,Reale Arena,Michael Oliver,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,18:45 (17:45),RB Salzburg at,0–2,es Real Sociedad,28227,Red Bull Arena,Bartosz Frankowski,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,18:45 (17:45),Union Berlin de,2–3,pt Braga,73445,Olympiastadion Berlin,Srđan Jovanović,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,20:00,Manchester Utd eng,2–3,tr Galatasaray,73204,Old Trafford,Ivan Kružliak,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,21:00 (20:00),PSV nl,2–2,es Sevilla,34206,Philips Stadion,Daniele Orsato,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,21:00 (20:00),Inter it,1–0,pt Benfica,66573,Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,21:00 (20:00),FC Copenhagen dk,1–2,de Bayern Munich,35690,Parken,Orel Grinfeeld,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,21:00 (20:00),Napoli it,2–3,es Real Madrid,51649,Stadio Diego Armando Maradona,Clément Turpin,Match Report,
2023/24,Group stage,2,Tue,2023-10-03,21:00 (20:00),Lens fr,2–1,eng Arsenal,37040,Stade Bollaert-Delelis,Marco Guida,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,18:45 (17:45),Atlético Madrid es,3–2,nl Feyenoord,61742,Estadio Cívitas Metropolitano,François Letexier,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,18:45 (17:45),Antwerp be,2–3,ua Shakhtar D.,13509,Bosuilstadion,Rade Obrenović,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,20:00,Newcastle eng,4–1,fr Paris SG,52009,St James' Park,István Kovács,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,20:00,Porto pt,0–1,es Barcelona,49722,Estádio Do Dragão,Anthony Taylor,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,20:00,Celtic sct,1–2,it Lazio,56063,Celtic Park,Donatas Rumšas,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,21:00 (20:00),RB Leipzig de,1–3,eng Manchester City,45228,Red Bull Arena,Artur Soares Dias,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,21:00 (20:00),Dortmund de,0–0,it Milan,81365,Signal Iduna Park,Szymon Marciniak,Match Report,
2023/24,Group stage,2,Wed,2023-10-04,21:00 (20:00),Red Star rs,2–2,ch Young Boys,47201,Stadion Rajko Mitić,William Collum,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,18:45 (17:45),Inter it,2–1,at RB Salzburg,71825,Stadio Giuseppe Meazza,François Letexier,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,19:45 (17:45),Galatasaray tr,1–3,de Bayern Munich,51776,RAMS Park,Davide Massa,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,20:00,Manchester Utd eng,1–0,dk FC Copenhagen,73249,Old Trafford,Marco Guida,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,20:00,Benfica pt,0–1,es Real Sociedad,56002,Estádio do Sport Lisboa e Benfica,Clément Turpin,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,20:00,Braga pt,1–2,es Real Madrid,29820,Estádio Municipal de Braga,Michael Oliver,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,21:00 (20:00),Sevilla es,1–2,eng Arsenal,39595,Estadio Ramón Sánchez Pizjuán,Glenn Nyberg,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,21:00 (20:00),Lens fr,1–1,nl PSV,38133,Stade Bollaert-Delelis,Radu Petrescu,Match Report,
2023/24,Group stage,3,Tue,2023-10-24,21:00 (20:00),Union Berlin de,0–1,it Napoli,72062,Olympiastadion Berlin,Irfan Peljto,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,18:45 (17:45),Barcelona es,2–1,ua Shakhtar D.,41409,Estadi Olímpic Lluís Companys,Ivan Kružliak,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,18:45 (17:45),Feyenoord nl,3–1,it Lazio,44031,Stadion Feijenoord,Tobias Stieler,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,20:00,Celtic sct,2–2,es Atlético Madrid,55844,Celtic Park,Felix Zwayer,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,20:00,Newcastle eng,0–1,de Dortmund,52024,St James' Park,Artur Soares Dias,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,21:00 (20:00),Antwerp be,1–4,pt Porto,13651,Bosuilstadion,Benoît Bastien,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,21:00 (20:00),Young Boys ch,1–3,eng Manchester City,31500,Stadion Wankdorf,Morten Krogh,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,21:00 (20:00),Paris SG fr,3–0,it Milan,45962,Parc des Princes,Slavko Vinčič,Match Report,
2023/24,Group stage,3,Wed,2023-10-25,21:00 (20:00),RB Leipzig de,3–1,rs Red Star,42209,Red Bull Arena,José Sánchez,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,18:45,Dortmund de,2–0,eng Newcastle,81365,Signal Iduna Park,Alejandro Hernández,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,19:45 (18:45),Shakhtar D. ua,1–0,es Barcelona,49147,Volksparkstadion,Irfan Peljto,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,20:00 (21:00),Manchester City eng,3–0,ch Young Boys,51049,Etihad Stadium,Erik Lambrechts,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,20:00 (21:00),Porto pt,2–0,be Antwerp,44830,Estádio Do Dragão,Maurizio Mariani,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,21:00,Red Star rs,1–2,de RB Leipzig,41961,Stadion Rajko Mitić,Daniele Orsato,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,21:00,Milan it,2–1,fr Paris SG,75649,Stadio Giuseppe Meazza,Jesús Gil,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,21:00,Atlético Madrid es,6–0,sct Celtic,60863,Estadio Cívitas Metropolitano,Ivan Kružliak,Match Report,
2023/24,Group stage,4,Tue,2023-11-07,21:00,Lazio it,1–0,nl Feyenoord,36612,Stadio Olimpico,Szymon Marciniak,Match Report,
2023/24,Group stage,4,Wed,2023-11-08,18:45,Real Sociedad es,3–1,pt Benfica,36815,Reale Arena,Anthony Taylor,Match Report,
2023/24,Group stage,4,Wed,2023-11-08,18:45,Napoli it,1–1,de Union Berlin,42449,Stadio Diego Armando Maradona,Danny Makkelie,Match Report,
2023/24,Group stage,4,Wed,2023-11-08,20:00 (21:00),Arsenal eng,2–0,es Sevilla,60024,Arsenal Stadium,István Kovács,Match Report,
