season,round,date,home_team,home_goals,away_goals,away_team,result,home_current_season_matches,away_current_season_matches,home_current_season_win_rate,away_current_season_win_rate,home_current_season_draw_rate,away_current_season_draw_rate,home_current_season_goal_difference,away_current_season_goal_difference,home_current_season_avg_goals_for,away_current_season_avg_goals_for,home_current_season_avg_goals_against,away_current_season_avg_goals_against,current_season_win_rate_edge,current_season_draw_rate_edge,current_season_goal_difference_edge,current_season_attack_edge,current_season_defense_edge
2025-26,League phase,2025-09-16,Athletic Club,0,2,Arsenal,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-16,Benfica,2,3,Qarabağ,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-16,Juventus,4,4,Dortmund,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-16,PSV,1,3,Union SG,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-16,Real Madrid,2,1,Marseille,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-16,Tottenham,1,0,Villarreal,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-17,Ajax,0,2,Inter,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-17,Bayern Munich,3,1,Chelsea,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-17,Liverpool,3,2,Atlético Madrid,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,League phase,2025-09-17,Olympiacos,0,0,Pafos FC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
