season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2015/16,Group stage,1.0,Tue,2015-09-15,19:45,Manchester City eng,1–2,it Juventus,50363,Etihad Stadium,Damir Skomina,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,19:45,Benfica pt,2–0,kz FC Astana,32799,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,20:45 (19:45),Sevilla es,3–0,de Gladbach,36959,Estadio Ramón Sánchez Pizjuán,Pavel Královec,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,20:45 (19:45),Wolfsburg de,1–0,ru CSKA Moscow,20126,Volkswagen Arena,Svein Oddvar Moen,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,20:45 (19:45),PSV nl,2–1,eng Manchester Utd,35292,Philips Stadion,Nicola Rizzoli,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,20:45 (19:45),Paris SG fr,2–0,se Malmö,46612,Parc des Princes,Sergey Karasev,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,20:45 (19:45),Real Madrid es,4–0,ua Shakhtar D.,66389,Estadio Santiago Bernabéu,Ivan Bebek,Match Report,
2015/16,Group stage,1.0,Tue,2015-09-15,21:45 (19:45),Galatasaray tr,0–2,es Atlético Madrid,33469,Türk Telekom Arena,Szymon Marciniak,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,19:45,Chelsea eng,4–0,il Maccabi Tel Aviv,40684,Stamford Bridge,Felix Zwayer,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,20:45 (19:45),Gent be,1–1,fr Lyon,19601,GHELAMCO-arena,William Collum,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,20:45 (19:45),Leverkusen de,4–1,by BATE Borisov,24280,BayArena,Danny Makkelie,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,20:45 (19:45),Roma it,1–1,es Barcelona,57836,Stadio Olimpico,Björn Kuipers,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,20:45 (19:45),Dinamo Zagreb hr,2–1,eng Arsenal,17840,Stadion Maksimir,Ovidiu Hațegan,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,20:45 (19:45),Valencia es,2–3,ru Zenit,28005,Estadio de Mestalla,Craig Thomson,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,21:45 (19:45),Dynamo Kyiv ua,2–2,pt Porto,52369,NSK Olimpijs'kyj,Felix Brych,Match Report,
2015/16,Group stage,1.0,Wed,2015-09-16,21:45 (19:45),Olympiacos gr,0–3,de Bayern Munich,31688,Stadio Georgios Karaiskáki,Carlos Velasco,Match Report,
2015/16,Group stage,2.0,Tue,2015-09-29,19:45,Porto pt,2–1,eng Chelsea,46120,Estádio Do Dragão,Antonio Matéu Lahoz,Match Report,
2015/16,Group stage,2.0,Tue,2015-09-29,19:45,Arsenal eng,2–3,gr Olympiacos,59428,Emirates Stadium,Bas Nijhuis,Match Report,
2015/16,Group stage,2.0,Tue,2015-09-29,20:45 (19:45),Barcelona es,2–1,de Leverkusen,68694,Camp Nou,Martin Atkinson,Match Report,
2015/16,Group stage,2.0,Tue,2015-09-29,20:45 (19:45),Bayern Munich de,5–0,hr Dinamo Zagreb,70000,Allianz Arena,Aliaksei Kulbakou,Match Report,
