season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2019-20,Group stage,1,Tue,2019-09-17,18:55 (17:55),Lyon fr,1–1,ru Zenit,47201,Groupama Stadium,Michael Oliver,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,18:55 (17:55),Inter it,1–1,cz Slavia Prague,50128,Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,20:00,Chelsea eng,0–1,es Valencia,39469,Stamford Bridge,Cüneyt Çakιr,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,20:00,Benfica pt,1–2,de RB Leipzig,46460,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,21:00 (20:00),Dortmund de,0–0,es Barcelona,66099,Signal Iduna Park,Ovidiu Hațegan,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,21:00 (20:00),RB Salzburg at,6–2,be Genk,29520,Red Bull Arena,Felix Zwayer,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,21:00 (20:00),Ajax nl,3–0,fr Lille,51441,Johan Cruyff ArenA,Srđan Jovanović,Match Report,
2019-20,Group stage,1,Tue,2019-09-17,21:00 (20:00),Napoli it,2–0,eng Liverpool,38878,Stadio San Paolo,Felix Brych,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,18:55 (17:55),Club Brugge be,0–0,tr Galatasaray,26616,Jan Breydelstadion,Slavko Vinčič,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,19:55 (17:55),Olympiacos gr,2–2,eng Tottenham,31001,Stadio Georgios Karaiskáki,Gianluca Rocchi,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,21:00 (20:00),Atlético Madrid es,2–2,it Juventus,66283,Estadio Wanda Metropolitano,Danny Makkelie,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,21:00 (20:00),Paris SG fr,3–0,es Real Madrid,46361,Parc des Princes,Anthony Taylor,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,21:00 (20:00),Bayern Munich de,3–0,rs Red Star,70000,Allianz Arena,Bobby Madden,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,21:00 (20:00),Dinamo Zagreb hr,4–0,it Atalanta,28863,Stadion Maksimir,Jesús Gil,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,21:00 (20:00),Leverkusen de,1–2,ru Loko Moscow,26592,BayArena,Paweł Raczkowski,Match Report,
2019-20,Group stage,1,Wed,2019-09-18,22:00 (20:00),Shakhtar D. ua,0–3,eng Manchester City,36675,Oblasny SportKomplex Metalist,Artur Soares Dias,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,18:55 (17:55),Atalanta it,1–2,ua Shakhtar D.,26022,Stadio Giuseppe Meazza,Tobias Stieler,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,18:55 (17:55),Real Madrid es,2–2,be Club Brugge,65112,Estadio Santiago Bernabéu,Georgi Kabakov,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,20:00,Manchester City eng,2–0,hr Dinamo Zagreb,49046,Etihad Stadium,Serdar Gözübüyük,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,20:00,Tottenham eng,2–7,de Bayern Munich,60127,Tottenham Hotspur Stadium,Clément Turpin,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,21:00 (20:00),Juventus it,3–0,de Leverkusen,34525,Allianz Stadium,William Collum,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,21:00 (20:00),Red Star rs,3–1,gr Olympiacos,43291,Stadion Rajko Mitić,Benoît Bastien,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,22:00 (20:00),Loko Moscow ru,0–2,es Atlético Madrid,27051,RZD Arena,Orel Grinfeeld,Match Report,
2019-20,Group stage,2,Tue,2019-10-01,22:00 (20:00),Galatasaray tr,0–1,fr Paris SG,46532,Türk Telekom Arena,Szymon Marciniak,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,18:55 (17:55),Genk be,0–0,it Napoli,19962,Luminus Arena,István Kovács,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,18:55 (17:55),Slavia Prague cz,0–2,de Dortmund,19370,Sinobo Stadium,Björn Kuipers,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,20:00,Liverpool eng,4–3,at RB Salzburg,52243,Anfield,Andreas Ekberg,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,21:00 (20:00),Barcelona es,2–1,it Inter,86141,Camp Nou,Damir Skomina,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,21:00 (20:00),RB Leipzig de,0–2,fr Lyon,40194,Red Bull Arena,Antonio Matéu Lahoz,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,21:00 (20:00),Lille fr,1–2,eng Chelsea,48523,Stade Pierre-Mauroy,Aliaksei Kulbakou,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,21:00 (20:00),Valencia es,0–3,nl Ajax,44659,Estadio de Mestalla,Daniele Orsato,Match Report,
2019-20,Group stage,2,Wed,2019-10-02,22:00 (20:00),Zenit ru,3–1,pt Benfica,51683,Gazprom Arena,Carlos del Cerro,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,18:55 (17:55),Atlético Madrid es,1–0,de Leverkusen,56776,Estadio Wanda Metropolitano,Artur Soares Dias,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,19:55 (17:55),Shakhtar D. ua,2–2,hr Dinamo Zagreb,21526,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,20:00,Tottenham eng,5–0,rs Red Star,51743,Tottenham Hotspur Stadium,Marco Guida,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,20:00,Manchester City eng,5–1,it Atalanta,49308,Etihad Stadium,Orel Grinfeeld,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,21:00 (20:00),Club Brugge be,0–5,fr Paris SG,26946,Jan Breydelstadion,Daniel Siebert,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,21:00 (20:00),Juventus it,2–1,ru Loko Moscow,38547,Allianz Stadium,Tasos Sidiropoulos,Match Report,
2019-20,Group stage,3,Tue,2019-10-22,22:00 (20:00),Olympiacos gr,2–3,de Bayern Munich,31670,Stadio Georgios Karaiskáki,Danny Makkelie,Match Report,
